exchange_flow_name,exchange_flow_id,exchange_unit,exchange_type,exchange_category,exchange_description,text
Antimony-124,d6011744-04ee-31f6-b35a-57ba4ccf6bb4,kBq,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Antimony-124.Elementary flows/emission/water..
"
Paraquat,ff83fe3a-6357-3c9e-b66b-9ac7ef8a75e3,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Paraquat.Elementary flows/emission/water..
"
Cryolite,cb0eb4e9-88c0-36cd-bd8e-56bbe50e3501,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Cryolite.Elementary flows/emission/air..
"
Hydroquinone,85edaf49-1d16-3628-af75-8cae341ccb32,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Hydroquinone.Elementary flows/emission/air..
"
Toluene,f7ebc6df-b3ee-30de-b6e8-c70e155854b3,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Toluene.Elementary flows/emission/water..
"
Penthiopyrad,600be904-4c15-381e-9cd6-67029a6e8755,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Penthiopyrad.Elementary flows/emission/air..
"
Zinc,7dbe300b-d061-3e5e-a9f0-1813e89d415c,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Zinc.Elementary flows/Resource/ground..
"
Aniline,01894008-2dcb-3311-a718-850bdc1ccbc7,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Aniline.Elementary flows/emission/water..
"
Bromoxynil,83c2c2df-7736-3848-bb9f-f1219c64122b,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Bromoxynil.Elementary flows/emission/air..
"
Iodide,8f8b7a99-41b6-368d-8170-3fd1bc15a936,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Iodide.Elementary flows/emission/water..
"
Malononitrile,a8d4c525-3249-3ae0-8d01-ab2be06b0ed5,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Malononitrile.Elementary flows/emission/air..
"
Vinyl acetate,a436de55-1bd6-35fc-9884-85ed374d7e51,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Vinyl acetate.Elementary flows/emission/water..
"
Cloransulam-methyl,7b9af1b3-5539-355a-b0c1-5a89b9bc45d4,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Cloransulam-methyl.Elementary flows/emission/water..
"
