activity_name,activity_db,activity_code,reference_product,activity_unit,location,production_amount,functional_unit_amount,method_1,method_2,method_3,method_str,method_unit,lcia_score
Electricity - SOLAR - Duke Energy Progress East,uslci_database529,49bdb021-3c91-32c5-82b6-951073a5e62a,"Electricity, AC, 2300-7650 V",MJ,Duke Energy Progress East,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.01033337517912473
"Steel; plate, at plant",uslci_database529,f2ddc783-1192-43c8-aa84-938af62d8328.671bebd9-4998-4b85-9913-605f89effc5d,"Overburden, stockpiled, steelmaking, on-site, for unspecified beneficial use",kg,Northern America,2.162236451,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.6563878090792441
"Carbon monoxide, at plant",uslci_database529,e0368d96-44a3-3628-8220-e6ae975b0931,"Carbon monoxide, at plant",kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,1.007210872497073
Carbon fiber; at plant,uslci_database529,b2c2eba7-28d2-43cf-b2ef-6bb9ba114bea,"Carbon fiber, at plant",kg,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,26.51017732621058
Electricity - SOLAR - ISO New England,uslci_database529,6f15af3b-5738-3376-80b1-9edce6b803be,"Electricity, AC, 2300-7650 V",MJ,ISO New England,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.007882752915464199
"Electricity - GAS - Midcontinent Independent System Operator, Inc.",uslci_database529,eef678db-f4f6-349d-98c1-81dfc5063997,"Electricity, AC, 2300-7650 V",MJ,"Midcontinent Independent System Operator, Inc.",1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.14955015411272954
Electricity; at grid; consumption mix - Northwest - FERC,uslci_database529,c2e8c2db-293a-346b-ad2d-f0a261382b44,"Electricity, AC, 2300-7650 V",MJ,Northwest,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.09272663085378616
"Transport, single unit truck, short-haul, gasoline powered, East North Central",uslci_database529,152b86c1-c318-3027-baf7-863ea194b59f,"Transport, single unit truck, short-haul, gasoline powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.12651527711253777
"Transport, single unit truck, long-haul, gasoline powered, Hawaii",uslci_database529,0e9b8277-83e7-3961-a7bb-ceda124189a9,"Transport, single unit truck, long-haul, gasoline powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.12319009709433881
"Transport, refuse truck, diesel powered, Northwest",uslci_database529,a0b22839-812d-3279-839f-9388f01c96de,"Transport, refuse truck, diesel powered",t*km,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.12704002753928778
"Slack wax, at plant, US SE",uslci_database529,2c79b9d3-e5f9-34a8-990e-b7d6f9e4dd08,Slack wax; at plant,kg,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.6998197796121266
"White mineral oil, at plant",uslci_database529,874dc726-50f1-300b-958f-9335fd1c53cd,"White mineral oil, at plant",kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,1.887663765949112
