id1,id2,flow,unit,description,type,emission_id,database,,,
"('biosphere3', '17f06f74-feea-4b7c-a125-a67ae6e1dcfb')",17f06f74-feea-4b7c-a125-a67ae6e1dcfb,2-Methyl-1-propanol,kilogram,air; lower stratosphere + upper troposphere,emission,17f06f74-feea-4b7c-a125-a67ae6e1dcfb,biosphere3,,,
"('biosphere3', 'd3f6f514-41e1-4b24-aa56-7d403839a4dd')",d3f6f514-41e1-4b24-aa56-7d403839a4dd,2-Methyl-1-propanol,kilogram,water; ground-,emission,d3f6f514-41e1-4b24-aa56-7d403839a4dd,biosphere3,,,
"('biosphere3', '76e532b3-25c7-487e-894c-5bf306cdd012')",76e532b3-25c7-487e-894c-5bf306cdd012,2-Methyl-1-propanol,kilogram,air; non-urban air or from high stacks,emission,76e532b3-25c7-487e-894c-5bf306cdd012,biosphere3,,,
"('biosphere3', '76a317b6-1c35-4c75-bb00-1cd5ec8c8e17')",76a317b6-1c35-4c75-bb00-1cd5ec8c8e17,2-Methyl-1-propanol,kilogram,water; ocean,emission,76a317b6-1c35-4c75-bb00-1cd5ec8c8e17,biosphere3,,,
"('biosphere3', '446e7a93-6ac4-4bdf-b97d-03f683c7488c')",446e7a93-6ac4-4bdf-b97d-03f683c7488c,2-Methyl-1-propanol,kilogram,water,emission,446e7a93-6ac4-4bdf-b97d-03f683c7488c,biosphere3,,,
"('biosphere3', '88be8e1b-1bdc-46e1-9856-187a95b3d872')",88be8e1b-1bdc-46e1-9856-187a95b3d872,2-Methyl-1-propanol,kilogram,"air; low population density, long-term",emission,88be8e1b-1bdc-46e1-9856-187a95b3d872,biosphere3,,,
"('biosphere3', '47bee45d-6d2b-48a6-a0c8-fcb8debc7f5d')",47bee45d-6d2b-48a6-a0c8-fcb8debc7f5d,2-Methyl-1-propanol,kilogram,air,emission,47bee45d-6d2b-48a6-a0c8-fcb8debc7f5d,biosphere3,,,
"('biosphere3', '23868338-42bc-4baf-a9e2-8e84ff8c92f1')",23868338-42bc-4baf-a9e2-8e84ff8c92f1,2-Methyl-2-butene,kilogram,water,emission,23868338-42bc-4baf-a9e2-8e84ff8c92f1,biosphere3,,,
"('biosphere3', 'fc81e3b6-8538-4e74-9303-26cf397f19cb')",fc81e3b6-8538-4e74-9303-26cf397f19cb,2-Methyl-2-butene,kilogram,"water; ground-, long-term",emission,fc81e3b6-8538-4e74-9303-26cf397f19cb,biosphere3,,,
"('biosphere3', '4e44630f-4197-4f05-809f-0fef07fba7d3')",4e44630f-4197-4f05-809f-0fef07fba7d3,2-Methyl-2-butene,kilogram,air,emission,4e44630f-4197-4f05-809f-0fef07fba7d3,biosphere3,,,
"('biosphere3', 'ef762eea-a8a2-49e1-8ed6-a12d325856f4')",ef762eea-a8a2-49e1-8ed6-a12d325856f4,2-Methyl-2-butene,kilogram,air; non-urban air or from high stacks,emission,ef762eea-a8a2-49e1-8ed6-a12d325856f4,biosphere3,,,
"('biosphere3', '2df5a2fe-1ab2-48e7-a9a6-1085703b17be')",2df5a2fe-1ab2-48e7-a9a6-1085703b17be,2-Methyl-2-butene,kilogram,water; surface water,emission,2df5a2fe-1ab2-48e7-a9a6-1085703b17be,biosphere3,,,
"('biosphere3', 'f9501098-4a8e-4cd1-98b7-00afbac477a4')",f9501098-4a8e-4cd1-98b7-00afbac477a4,2-Methyl-2-butene,kilogram,air; lower stratosphere + upper troposphere,emission,f9501098-4a8e-4cd1-98b7-00afbac477a4,biosphere3,,,
"('biosphere3', '394c876b-9b10-4f7f-b2b7-4e61b691d7c6')",394c876b-9b10-4f7f-b2b7-4e61b691d7c6,2-Methyl-2-butene,kilogram,"air; low population density, long-term",emission,394c876b-9b10-4f7f-b2b7-4e61b691d7c6,biosphere3,,,
"('biosphere3', 'efe94e38-a449-4817-94c1-7aedf1022714')",efe94e38-a449-4817-94c1-7aedf1022714,2-Methyl-2-butene,kilogram,water; ground-,emission,efe94e38-a449-4817-94c1-7aedf1022714,biosphere3,,,
"('biosphere3', 'b5a8e697-f5ac-413f-828c-51f6aace2e36')",b5a8e697-f5ac-413f-828c-51f6aace2e36,2-Methyl-2-butene,kilogram,water; ocean,emission,b5a8e697-f5ac-413f-828c-51f6aace2e36,biosphere3,,,
