consumer_process_id,consumer_process_name,supplier_process_id,supplier_process_name,supplier_location,input_flow_name,input_flow_unit,note
8bb5fd48c0a84e2f82e28d72c956b672,recycled glass/carbon fiber,0cb57182f37840f2a16a589c8386a35a,Epoxy resin,GLO,Epoxy resin,kg,Supplier process_id not found in new USLCI extract
8bb5fd48c0a84e2f82e28d72c956b672,recycled glass/carbon fiber,faa85914-ec68-377e-aee5-0e0af4e27fc8.bf2b1e5a-4c92-3974-a2fd-a68898833086,"Chlorine, production mix, at plant",United States,"Sodium hydroxide, production mix, at plant",kilogram,Supplier process_id not found in new USLCI extract
8bb5fd48c0a84e2f82e28d72c956b672,recycled glass/carbon fiber,e4a61018-9f98-3049-95c1-33b1acaa904e.2c696e73-bd01-3f7b-a6c5-a56dee44d66e,"Acetic acid, at plant",Northern America,"Acetic acid, at plant",kilogram,Supplier process_id not found in new USLCI extract
8bb5fd48c0a84e2f82e28d72c956b672,recycled glass/carbon fiber,89389d98-1ba6-30c5-9c33-92443694936b_copy2,"Electricity, at Grid, US, 2023",Northern America,"Electricity, at grid 2023",megajoule,Supplier process_id not found in new USLCI extract
9edbfcafb5a048a1b4b649e2686115c7,recycling (theoretical) EoL PV module with credits,c3b2244dbba5469d839dca55eb479986,Copper,GLO,Copper,kg,Supplier process_id not found in new USLCI extract
9edbfcafb5a048a1b4b649e2686115c7,recycling (theoretical) EoL PV module with credits,3b36ca69f6104ef3b17b15f224634ef3,treatment of waste via landfill,GLO,treatment of waste via landfill,kg,Supplier process_id not found in new USLCI extract
9edbfcafb5a048a1b4b649e2686115c7,recycling (theoretical) EoL PV module with credits,4e89b1547e05486aa61bbf8744326953,Nitric acid,GLO,Nitric acid,kg,Supplier process_id not found in new USLCI extract
9edbfcafb5a048a1b4b649e2686115c7,recycling (theoretical) EoL PV module with credits,cc4018cea8ae4c2cb77e478d9b81d2c1,"aluminum, average US",GLO,"aluminum, average US",kg,Supplier process_id not found in new USLCI extract
9edbfcafb5a048a1b4b649e2686115c7,recycling (theoretical) EoL PV module with credits,89389d98-1ba6-30c5-9c33-92443694936b_copy2,"Electricity, at Grid, US, 2023",Northern America,"Electricity, at grid 2023",megajoule,Supplier process_id not found in new USLCI extract
9edbfcafb5a048a1b4b649e2686115c7,recycling (theoretical) EoL PV module with credits,517a14daa453434397033cf978e95cb4,Flat glass,GLO,Flat glass,kg,Supplier process_id not found in new USLCI extract
b5f9da52f03d4028b535bb59e61e8fec_copy10,PV-Si_V2 REMPD base case EOL no credits,2b2f738d-2044-462f-ba56-5112ee683cb6.e7bbbd06-5887-45b0-a3c2-c9d06d571351,"Polyethylene terephthalate, PET, virgin resin, at plant, kg",Northern America,"Polyethylene terephthalate, PET, virgin resin, at plant, kg",kilogram,Supplier process_id not found in new USLCI extract
b5f9da52f03d4028b535bb59e61e8fec_copy10,PV-Si_V2 REMPD base case EOL no credits,c3b2244dbba5469d839dca55eb479986,Copper,GLO,Copper,kg,Supplier process_id not found in new USLCI extract
b5f9da52f03d4028b535bb59e61e8fec_copy10,PV-Si_V2 REMPD base case EOL no credits,b0e83834598d43e6ac64ea0802f1c0a0,Nickel from sulfide ores,GLO,Nickel from sulfide ores,kg,Supplier process_id not found in new USLCI extract
